ID;ChEMBL ID;SMILES;Standard Type S1R Receptor;Relation S1R Receptor; S1R Binding Affinity (nM);Standard Type S2R Receptor;Relation S2R Receptor;S2R Binding Affinity (nM);Relation Ratio  S1R/S2R;Ratio  S1R/S2R;Log Ratio  S1R/S2R; S1R Binding Affinity [-log( S1R Binding Affinity (M))];S2R Binding Affinity [-log(S2R Binding Affinity (M))];LogP;pKaH;LogD[pH=7.4];Topological Polar Surface Area;Molecular Weight;Hydrogen Bond Donor Count;Hydrogen Bond Acceptor Count;Atom Count;Description S1R Binding Procedure;Description S2R Binding Procedure;Formulation;SMILES (Formulation);Binding Affinity Assessments for S1R and S2R Receptors;Stereochemistry;Notes;Lipinski;logP-CNS MPO;logD-CNS MPO;HBD-CNS MPO;PSA-CNS MPO;MW-CNS MPO;pKa-CNS MPO;CNS MPO score;Reference;Reference Article Compound Key and/or Preferred Name;Journal;year;volume;issue;first;last;Authors;title;Standard Type Sigma-1 Receptor_1;Relation Sigma-1 Receptor_2;Sigma-1 Binding Affinity (nM)_3;Standard Type Sigma-2 Receptor_4;Relation Sigma-2 Receptor_5;Sigma-2 Binding Affinity (nM)_6;Relation Ratio Sigma-1/Sigma-2_7;Ratio Sigma-1/Sigma-2_8;Reference_9;Reference Article Compound Key or Preferred Name;Other References;Other Reference Article Compound Key or Preferred Name;Description Sigma-1 Binding Procedure_10;Description Sigma-2 Binding Procedure_11;Formulation_12;Smile (Formulation);Other Reference Article Compound Key and/or Preferred Name
S2RSLDB11;CHEMBL479648;COC1=C(NC(=O)OC2CC3CCCC(C2)N3CC2=CC=C(CCF)C=C2)C=C(C)C=C1;Ki;=;17105;Ki;=;82;=;208597561;3319309226;5766876921;9086186148;532;794;467;508;4405502;1;4;65;Binding affinity for sigma-1 receptor measured on guinea pig brain homogenates incubated with ≈3 nM [3H](+)-pentazocine;Binding affinity for sigma-2 receptor measured on rat liver homogenates incubated with ≈1 nM [3H]RHM-1;HCl salt;Cl.COC1=C(NC(=O)OC2CC3CCCC(C2)N3CC2=CC=C(CCF)C=C2)C=C(C)C=C1;Single assessment;;;1;0;0;75;1;297249;1;3047249;Bioorg Med Chem 2009, 17, 1222-31;wc-59;Bioorganic & medicinal chemistry;2009;17;3;1222;1231;"Chu, W.; Xu, J.; Zhou, D.; Zhang, F.; Jones, L. A.; Wheeler, K. T.; Mach, R. H.,";New N-substituted 9-azabicyclo[3.3.1]nonan-3α-yl phenylcarbamate analogs as sigma2 receptor ligands: synthesis, in vitro characterization, and evaluation as PET imaging and chemosensitization agents.;;;;;;;;;;;;;;;;;
S2RSLDB12;CHEMBL1927699;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC=CC=C3)CCC2=C1;Ki;>;10000000;Ki;=;5290;>;1890359168;3276544328;2;5276544328;309;809;233;508;3684693;1;4;55;Binding affinity for sigma-1 receptor measured on rat liver membranes homogenates incubated with 10 nM [3H]-(+)-pentazocine (34.8 Ci/mM) in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈50 μg of total proteins per reaction) incubated with 10 nM [3H]DTG (58.1 Ci/mM) in the presence of 100 nM (+)-pentazocine in 50 mM Tris-HCl;Free base;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC=CC=C3)CCC2=C1;Single assessment;;;0;955;835;75;1;6576535;955;51526535;Bioorg Med Chem 2011, 19, 7435-40;5c;Bioorganic & medicinal chemistry;2011;19;24;7435;7440;"Hajipour, A. R.; Guo, L. W.; Pal, A.; Mavlyutov, T.; Ruoho, A. E.,";Electron-donating para-methoxy converts a benzamide-isoquinoline derivative into a highly Sigma-2 receptor selective ligand.;;;;;;;;;;;;;;;;;
S2RSLDB13;;FC1=CC=C(C=C1)C1(CC2CCC1C2)NCCCOC1CCCCO1;Ki;>;10000;Ki;=;55;>;1818181818;3259637311;5;8259637311;405;1005;15;3049;3474668;1;3;55;Binding affinity for sigma-1 receptor measured on rat brain homogenates incubated with [3H]-(+)-pentazocine;Binding affinity for sigma-2 receptor measured on rat PC12 cells incubated with [3H]DTG;Fumarate;OC(=O)\C=C\C(O)=O.FC1=CC=C(C=C1)C1(CC2CCC1C2)NCCCOC1CCCCO1;Single assessment;;;0;475;1;75;5245;762666;0;3512166;US 2012/0190710;5c;U.S. Pat. Appl. Publ.;2012;;;;;"Adejare, Adeboye; Ates-Alagoz, Zeynep; Gaye, Boyenoh.,";Bicyclo-heptan-2-amines ;;;;;;;;;;;;;;;;;
S2RSLDB14;CHEMBL1682080;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC(OC)=C3OC)CC2=C1;Ki;=;1442;Ki;=;82;=;1758536585;3245151408;584103474;9086186148;326;732;3;6926;493391;1;6;60;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane (≈0.25 mg of protein) incubated with 1 nM [3H](+)-pentazocine in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈0.25 mg of protein) incubated with 3 nM [3H]DTG (30 Ci/mmol) as radioligand in the presence of 200 nM (+)-pentazocine in 50 mM Tris-HCl;Free base;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC(OC)=C3OC)CC2=C1;Single assessment;;;0;87;5;75;1;33045;1;4153045;Bioorg Med Chem 2011, 19, 1852-9;3 (5R-2);Bioorganic & medicinal chemistry;2011;19;6;1852;1859;"Fan, K. H.; Lever, J. R.; Lever, S. Z.,";Effect of structural modification in the amine portion of substituted aminobutyl-benzamides as ligands for binding sigma1 and sigma2 receptors.;;;;;;;;;;;;;;;;;
S2RSLDB15;CHEMBL226540;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC=C3OCCF)CCC2=C1;Ki;=;1076;Ki;=;65;=;1655384615;3218898915;5968187729;9187086643;39;809;314;6003;509408;1;5;62;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg proteins) incubated with ≈5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol) in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on rat liver membrane homogenates (≈300 μg protein) incubated with ≈5 nM [3H]DTG (58.1 Ci/mM) in the presence of 1 μM (+)-pentazocine in 50 mM Tris-HCl;Oxalate;OC(=O)C(O)=O.COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC=C3OCCF)CCC2=C1;Single assessment;;;1;55;43;75;1;0;955;3685;J Med Chem 2007, 50, 3194-204;3d;Journal of medicinal chemistry;2007;50;14;3194;3204;"Tu, Z.; Xu, J.; Jones, L. A.; Li, S.; Dumstorff, C.; Vangveravong, S.; Chen, D. L.; Wheeler, K. T.; Welch, M. J.; Mach, R. H.,";Fluorine-18-labeled benzamide analogues for imaging the sigma2 receptor status of solid tumors with positron emission tomography.;;;;;;;;;;;;;;;;;
S2RSLDB16;CHEMBL291439;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC(OC)=C3OC)CCC2=C1;Ki;=;12900;Ki;=;82;=;1573170732;3196775858;488941029;8086186148;355;809;278;6926;507417;1;6;63;The sigma-1 receptor binding assay was conducted using guinea pig brain membrane homogenates (100 μg protein). Membrane homogenates were incubated with 3 nM [3H](+)-pentazocine (31.6 Ci/mmol) in 50mM Tris–HCl;The sigma-2 receptor binding assay was conducted using rat liver membrane homogenates (35 μg of protein). Membrane homogenates were incubated with 3 nM [3H]DTG (38.3 Ci/mmol) in the presence of 100 nM (+)-pentazocine in 50mM Tris–HCl;Free base;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC(OC)=C3OC)CCC2=C1;Multiple assessments;;;1;725;61;75;1;0;955;404;Bioorg Med Chem Lett 2004, 14, 195-202;14;Bioorganic & medicinal chemistry letters;2004;14;1;195;202;"Mach, R. H.; Huang, Y.; Freeman, R. A.; Wu, L.; Vangveravong, S.; Luedtke, R. R.,";Conformationally-flexible benzamide analogues as dopamine D3 and sigma 2 receptor ligands.;Ki;=;881;Ki;=;27;=;3262962963;Bioorg Med Chem Lett 2007, 17, 2594-7;1;Bioorg Med Chem 2011, 19, 1852-9;1;Binding affinity for sigma-1 receptor measured on male guinea pig brains homogenates (250 μg protein) incubated with 1 nM [3H]-(+)-pentazocine in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on male guinea pig brains homogenates (250 μg protein) incubated with 3 nM [3H]DTG in the presence of 200 nM (+)-pentazocine;Free base;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(Br)=CC(OC)=C3OC)CCC2=C1;US 2005/0107398 6 Eur J Med Chem 2011, 46, 5154-61 1 Bioorg Med Chem 2011, 19, 1852-9 5-bromo-N-(4-(6,7-dimethoxy-3,4-dihydroisoquinolin-2(1H)-yl)butyl)-2,3-dimethoxybenzamide Bioorg Med Chem Lett 2007, 17, 2594-7
S2RSLDB17;CHEMBL387741;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(I)=CC=C3OCCF)CCC2=C1;Ki;=;1300;Ki;=;106;=;1226415094;3088637487;5886056648;8974694135;406;809;33;6003;5564089;1;5;62;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg proteins) incubated with ≈5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol) in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on rat liver membrane homogenates (≈300 μg protein) incubated with ≈5 nM [3H]DTG (58.1 Ci/mM) in the presence of 1 μM (+)-pentazocine in 50 mM Tris-HCl;Oxalate;OC(=O)C(O)=O.COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(I)=CC=C3OCCF)CCC2=C1;Single assessment;;;1;47;35;75;1;0;955;3525;J Med Chem 2007, 50, 3194-204;3e;Journal of medicinal chemistry;2007;50;14;3194;3204;"Tu, Z.; Xu, J.; Jones, L. A.; Li, S.; Dumstorff, C.; Vangveravong, S.; Chen, D. L.; Wheeler, K. T.; Welch, M. J.; Mach, R. H.,";Fluorine-18-labeled benzamide analogues for imaging the sigma2 receptor status of solid tumors with positron emission tomography.;;;;;;;;;;;;;;;;;
S2RSLDB18;CHEMBL3262522;COC1=CC(CN2C=C(N=N2)C(=O)NCCCCN2CCC3=C(C2)C=C(OC)C(OC)=C3)=CC=C1;Ki;=;12665;Ki;=;107;=;118364486;3073221416;4897394806;7970616222;309;809;233;9074;4795713;1;7;68;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC(CN2C=C(N=N2)C(=O)NCCCCN2CCC3=C(C2)C=C(OC)C(OC)=C3)=CC=C1;Single assessment;;;0;955;835;75;978358;1021435;955;45755015;J Med Chem 2014, 57, 4239-51;39b;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB19;CHEMBL1831166;COC1=C(OC)C=C2CN(CCCCN3C=C(C4=C3C=CC=C4)C3=CC=C(F)C=C3)CCC2=C1;Ki;=;4713;Ki;=;437;=;1078489703;3032816003;532670256;8359518563;613;848;502;2663;458567;0;3;65;Affinities of the ligands for sigma-1 sites were determined in rat brain homogenates using 5 nM [3H](+)-pentazocine;Affinities of the ligands for sigma-2 sites were determined in rat brain homogenates using 3 nm [3H]DTG in the presence of (+)pentazocine 300 nM;;COC1=C(OC)C=C2CN(CCCCN3C=C(C4=CC=CC=C34)C3=CC=C(F)C=C3)CCC2=C1;Multiple assessments;;;1;0;0;1;3315;207165;76;2298665;US2014-0328755;CM-361;U.S. Pat. Appl. Publ.;2014;;;;;"McCurdy, Christopher R.; Mesangeau, Christophe; Chin, Frederick T.; James, Michelle L.; Shen, Bin; Gambhir, Sanjiv; Biswal, Sandip; Behera, Deepak.";Highly selective sigma receptor ligands and radioligands as probes in nociceptive processing and the pathphysiological study of memory deficits and cognitive disorders;Ki;=;2948;Ki;=;745;=;395704698;Eur J Med Chem 2011, 46, 5154-61;9F;;;Displacement of 5 nM [3H](+)-pentazocine from rat brain (400-500 μg) sigma-1 receptor;Displacement of 3 nM [3H]-DTG in the presence of 300 nM (+)-pentazocine from rat brain (400-500 μg) sigma-2 receptor;Oxalate;OC(=O)C(O)=O.COC1=C(OC)C=C2CN(CCCCN3C=C(C4=C3C=CC=C4)C3=CC=C(F)C=C3)CCC2=C1;WO2009026227 CM-361 US 2010/0329978 Eur J Med Chem 2011, 46, 5154-61 9F
S2RSLDB20;;C(CNC1(CC2CCC1C2)C1=CC=CC=C1)CN1CCCCC1;Ki;>;10000;Ki;=;96;>;1041666667;3017728767;5;8017728767;393;1045;4;1527;3124922;1;2;55;Binding affinity for sigma-1 receptor measured on rat brain homogenates incubated with [3H]-(+)-pentazocine;Binding affinity for sigma-2 receptor measured on rat PC12 cells incubated with [3H]DTG;Fumarate;OC(=O)\C=C\C(O)=O.C(CNC1(CC2CCC1C2)C1=CC=CC=C1)CN1CCCCC1;Single assessment;;;0;535;1;75;0;937539;0;3222539;US 2012/0190710;5a;U.S. Pat. Appl. Publ.;2012;;;;;"Adejare, Adeboye; Ates-Alagoz, Zeynep; Gaye, Boyenoh.,";Bicyclo-heptan-2-amines ;;;;;;;;;;;;;;;;;
