"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4530979";"";"None";"267.37";"0";"3.96";"(+/-)-3f";"CC[C@H]1c2cc(-c3ccccc3)ccc2OC[C@@]1(C)N";"Ki";"'='";"316.23";"nM";"6.50";"";"";"UO_0000065";"24.31";"0.44";"2.54";"18.44";"0";"CHEMBL4308647";"Displacement of [3H]-Pentazocine from human recombinant sigma2 receptor expressed in HEKT cells after 90 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304834";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4556297";"";"None";"219.28";"0";"1.92";"(+/-)-4e";"COc1ccc2c(c1)[C@@H]1CCN[C@]1(C)CO2";"Ki";"'='";"3162.28";"nM";"5.50";"";"";"UO_0000065";"25.08";"0.47";"3.58";"18.04";"0";"CHEMBL4308647";"Displacement of [3H]-Pentazocine from human recombinant sigma2 receptor expressed in HEKT cells after 90 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304834";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4456195";"";"None";"217.31";"0";"2.53";"(+/-)-4k";"Cc1cc(C)c2c(c1)OC[C@@]1(C)NCC[C@@H]21";"Ki";"'='";"316.23";"nM";"6.50";"";"";"UO_0000065";"29.91";"0.55";"3.97";"30.57";"0";"CHEMBL4308647";"Displacement of [3H]-Pentazocine from human recombinant sigma2 receptor expressed in HEKT cells after 90 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304834";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4165285";"";"None";"330.86";"0";"3.98";"7j";"CN(CCCCNC(=O)c1ccc(Cl)cc1)Cc1ccccc1";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"23.27";"0.46";"3.72";"23.81";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4518706";"PF-00911705";"None";"508.49";"1";"2.53";"EUB0000702";"CN(c1ccnc(CNc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2C(F)(F)F)n1)S(C)(=O)=O";"Inhibition";"";"60.3";"%";"";"";"Slightly Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4880066";"GPCRScan assay: inhibition of Sigma 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"Parental cells: HEKT | PMID: 28495085/28559337/27042935 | Protein length: full-length | Radioligand conc. used [nM]: 5.0 | Radioligand Kd None 27.93 nM | Radioligand name: [3H]-DTG | Radioligand pKd None 7.55 None | Radioligand pKd ± SEM None 0.18 None | Reference ligand: Haloperidol | Reference ligand Ki None 15.87 nM | Reference ligand pKi None 7.8 None | Reference ligand pKi  ± SEM None 0.04 None";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4507299";"54";"Donated Chemical Probes - SGC Frankfurt";"";"2021";"None";"Compound concentration None 10.0 µM";"";""
"CHEMBL3685796";"MRL-SYKi";"None";"452.58";"1";"5.06";"EUB0000714";"Cc1cc(Nc2nccc(C)n2)cc(-c2cnc([C@@]3(O)CC[C@H](C(=O)O)C(C)(C)C3)s2)c1";"Inhibition";"";"33.55";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4880066";"GPCRScan assay: inhibition of Sigma 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"Parental cells: HEKT | PMID: 28495085/28559337/27042935 | Protein length: full-length | Radioligand conc. used [nM]: 5.0 | Radioligand Kd None 27.93 nM | Radioligand name: [3H]-DTG | Radioligand pKd None 7.55 None | Radioligand pKd ± SEM None 0.18 None | Reference ligand: Haloperidol | Reference ligand Ki None 15.87 nM | Reference ligand pKi None 7.8 None | Reference ligand pKi  ± SEM None 0.04 None";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4507285";"54";"Donated Chemical Probes - SGC Frankfurt";"";"2021";"None";"Compound concentration None 10.0 µM";"";""
"CHEMBL4647090";"";"None";"345.37";"0";"1.81";"4";"OC1COCCC1NC1CCN(c2ccc(C(F)(F)F)cn2)CC1";"Ki";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"22.65";"0.45";"6.01";"13.58";"0";"CHEMBL4622426";"Displacement of [3H](+)-DTG from recombinant sigma 2 receptor (unknown origin) expressed in baculovirus infected Sf9 cell membranes after 1.5 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619813";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"CHEMBL3308860";"";"";""
"CHEMBL4642064";"";"None";"341.50";"0";"3.73";"2";"CC(CCc1c[nH]c2ccccc12)NC1CCN(C(=O)C(C)C)CC1";"Kd";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4622426";"Displacement of [3H](+)-DTG from recombinant sigma 2 receptor (unknown origin) expressed in baculovirus infected Sf9 cell membranes after 1.5 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619813";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"CHEMBL3308860";"";"";""
"CHEMBL4472927";"";"None";"313.49";"0";"4.57";"19a";"c1ccc2c(c1)CCO[C@]21CC[C@H](NCC2CCCCC2)CC1";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"25.83";"0.48";"3.53";"38.09";"0";"CHEMBL4386118";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor in human RT4 cell membranes incubated for 120 mins in the presence of sigma1 receptor ligand (+)-pentazocine by scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4385605";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL1779994";"";"None";"337.46";"0";"4.16";"21b";"COC1Cc2ccccc2[C@]2(CC[C@H](NCc3ccccc3)CC2)O1";"Ki";"'='";"227.0";"nM";"6.64";"";"";"UO_0000065";"19.69";"0.36";"2.48";"21.79";"0";"CHEMBL4386118";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor in human RT4 cell membranes incubated for 120 mins in the presence of sigma1 receptor ligand (+)-pentazocine by scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4385605";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL4174647";"";"None";"351.28";"0";"4.25";"7o";"CN(CCCNC(=O)c1cccc(Cl)c1Cl)Cc1ccccc1";"Ki";"'='";"310.0";"nM";"6.51";"";"";"UO_0000065";"18.53";"0.39";"2.26";"20.13";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4168782";"";"None";"351.28";"0";"4.25";"7r";"CN(CCCNC(=O)c1cc(Cl)cc(Cl)c1)Cc1ccccc1";"Ki";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"20.83";"0.43";"3.07";"22.63";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4172201";"";"None";"293.37";"0";"2.42";"7w";"CN(CCNC(=O)c1ccc(C#N)cc1)Cc1ccccc1";"Ki";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"23.08";"0.42";"4.35";"12.06";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4166905";"";"None";"313.36";"0";"2.46";"7y";"CN(CCNC(=O)c1ccc([N+](=O)[O-])cc1)Cc1ccccc1";"Ki";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"18.68";"0.35";"3.39";"7.76";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4174797";"";"None";"327.38";"0";"2.85";"7z";"CN(CCCNC(=O)c1ccc([N+](=O)[O-])cc1)Cc1ccccc1";"Ki";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"19.68";"0.37";"3.59";"8.54";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4169667";"";"None";"295.81";"0";"1.71";"8h";"CN1CCN(CCCNC(=O)c2ccc(Cl)cc2)CC1";"Ki";"'>'";"200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL4164330";"";"None";"352.89";"0";"3.14";"9";"CN(CCCNS(=O)(=O)c1ccc(Cl)cc1)Cc1ccccc1";"Ki";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"18.98";"0.40";"3.56";"13.56";"0";"CHEMBL4131892";"Displacement of [3H]-DTG from S2R in human Jurkat cell membranes after 1 hr in presence of (+)-pentazocine by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130363";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL2203406";"";"None";"478.66";"0";"4.16";"CJ-1639";"CCCN(CC[C@]1(O)C[C@H](NC(=O)c2ccc3ccccc3c2)C1)[C@H]1CCc2nc(N)sc2C1";"Ki";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4406644";"Displacement of [3H]-DTG from sigma 2 receptor (unknown origin) measured after 90 mins by microbeta counting analysis";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402608";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL4297522";"PEMIGATINIB";"4.0";"487.51";"0";"3.66";"38; INCB054828";"CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4810214";"Inhibition of sigma 2 receptor (unknown origin) at 0.1 to 1 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4808209";"1";"Scientific Literature";"J Med Chem";"2021";"None";"Dose_Lower = 0.1 microM | Dose_Upper = 1.0 microM";"";""
"CHEMBL4520788";"BAY-294";"None";"448.59";"1";"5.58";"EUB0000743";"CNCc1ccccc1-c1csc([C@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1";"Ki";"";"609.54";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4880066";"GPCRScan assay: inhibition of Sigma 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"Parental cells: HEKT | PMID: 28495085/28559337/27042935 | Protein length: full-length | Radioligand conc. used [nM]: 5.0 | Radioligand Kd None 27.93 nM | Radioligand name: [3H]-DTG | Radioligand pKd None 7.55 None | Radioligand pKd ± SEM None 0.18 None | Reference ligand: Haloperidol | Reference ligand Ki None 15.87 nM | Reference ligand pKi None 7.8 None | Reference ligand pKi  ± SEM None 0.04 None";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4507273";"54";"Donated Chemical Probes - SGC Frankfurt";"";"2021";"None";"";"";""
"CHEMBL476108";"";"None";"374.89";"0";"4.65";"1; SYA 013";"O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1";"Ki";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"22.01";"0.43";"3.60";"35.04";"0";"CHEMBL4390736";"Displacement [3H]-DTG from sigma 2 receptor (unknown origin) expressed in HEK cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390638";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";""
"CHEMBL4533305";"";"None";"341.43";"0";"3.40";"3";"O=C(CCCN1CCCN(c2ccccn2)CC1)c1ccc(F)cc1";"Ki";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"21.95";"0.41";"4.09";"20.57";"0";"CHEMBL4390736";"Displacement [3H]-DTG from sigma 2 receptor (unknown origin) expressed in HEK cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390638";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";""
"CHEMBL4455912";"";"None";"306.41";"0";"3.93";"(+/-)-11c";"CC(=O)N1CC[C@H]2c3ccccc3N(c3ccccc3)C[C@]21C";"Ki";"'='";"1258.93";"nM";"5.90";"";"";"UO_0000065";"19.26";"0.35";"1.97";"25.05";"0";"CHEMBL4308647";"Displacement of [3H]-Pentazocine from human recombinant sigma2 receptor expressed in HEKT cells after 90 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304834";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4648130";"";"None";"397.48";"0";"3.08";"9";"O=C(NCCN1CCC(Cc2ccccc2)CC1)c1cccc(CO[N+](=O)[O-])c1";"Ki";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"16.31";"0.31";"3.40";"7.65";"0";"CHEMBL4616034";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4636822";"";"None";"425.53";"0";"3.86";"15";"O=C(NCCCCN1CCC(Cc2ccccc2)CC1)c1ccc(CO[N+](=O)[O-])cc1";"Ki";"'='";"89.0";"nM";"7.05";"";"";"UO_0000065";"16.57";"0.31";"3.19";"8.32";"0";"CHEMBL4616034";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4646661";"";"None";"369.42";"0";"2.79";"19";"O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(CO[N+](=O)[O-])cc1";"Ki";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"17.78";"0.33";"3.78";"7.75";"0";"CHEMBL4616034";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
